repeat,fold,accuracy,f1_macro,f1_weighted,roc_auc
1,1,0.9148936170212766,0.913919413919414,0.9156729795027667,1.0
1,2,0.8297872340425532,0.825925925925926,0.8253743104806935,0.9728260869565217
1,3,0.851063829787234,0.840677966101695,0.8571222502704652,0.9870129870129869
1,4,0.8936170212765957,0.8934240362811792,0.8940994837651373,1.0
1,5,0.9361702127659575,0.9342657342657343,0.9359321529534296,0.9796296296296296
2,1,0.8936170212765957,0.8928408572731419,0.8945872262809131,0.9755639097744362
2,2,0.8297872340425532,0.8278388278388278,0.8266697841165926,0.990909090909091
2,3,0.8297872340425532,0.8278388278388278,0.8266697841165926,1.0
2,4,0.851063829787234,0.8507936507936508,0.8520094562647754,0.9849624060150376
2,5,0.8723404255319149,0.8718181818181818,0.873384912959381,0.9906015037593985
3,1,0.851063829787234,0.8485964104924069,0.8481851739432691,0.9927536231884058
3,2,0.8723404255319149,0.8321428571428571,0.8828267477203647,1.0
3,3,0.8723404255319149,0.8708791208791209,0.870586859948562,0.9927536231884058
3,4,0.8297872340425532,0.8233082706766917,0.8240281554951209,1.0
3,5,0.9361702127659575,0.9357045143638851,0.9360537881654393,0.9727272727272727
4,1,0.8936170212765957,0.8918545789231478,0.8944982424533198,0.9699248120300751
4,2,0.8723404255319149,0.8674812030075187,0.8691009438489842,1.0
4,3,0.851063829787234,0.8440018966334756,0.8461204765796031,0.9890909090909091
4,4,0.8723404255319149,0.8708791208791209,0.870586859948562,0.9909420289855072
4,5,0.9148936170212766,0.913919413919414,0.9156729795027667,0.9887218045112782
5,1,0.8297872340425532,0.8278388278388278,0.8329046839685137,0.9980392156862745
5,2,0.8723404255319149,0.8718181818181818,0.8712959381044488,0.9927272727272728
5,3,0.8936170212765957,0.8934240362811792,0.8940994837651373,0.9944444444444445
5,4,0.8936170212765957,0.8936170212765957,0.8936170212765957,0.9908424908424909
5,5,0.8723404255319149,0.8722826086956521,0.8726873265494912,1.0
