repeat,fold,accuracy,f1_macro,f1_weighted,roc_auc
1,1,0.8085106382978723,0.8081632653061225,0.8097264437689969,0.9642857142857142
1,2,0.8723404255319149,0.8708791208791209,0.8717559036707974,0.9381818181818182
1,3,0.7021276595744681,0.7019927536231885,0.7040163428923837,1.0
1,4,0.7872340425531915,0.774904214559387,0.7760251080133692,0.9329710144927537
1,5,0.723404255319149,0.7151515151515151,0.7099935525467441,0.9761904761904762
2,1,0.8085106382978723,0.8081632653061225,0.8097264437689969,0.9699248120300751
2,2,0.7021276595744681,0.7009090909090909,0.6964410058027078,1.0
2,3,0.6595744680851063,0.6594202898550725,0.6571076164045636,1.0
2,4,0.8085106382978723,0.8053382420616659,0.8037520439435627,1.0
2,5,0.7659574468085106,0.7642498860009119,0.7612616545876144,0.9944444444444445
3,1,0.7446808510638298,0.7157258064516129,0.7215168153740562,0.9763636363636363
3,2,0.7021276595744681,0.7009090909090909,0.6964410058027078,0.9808429118773947
3,3,0.723404255319149,0.7102892366050261,0.7063547309907893,1.0
3,4,0.9361702127659575,0.9299552906110282,0.9366141357770238,0.9899193548387097
3,5,0.851063829787234,0.8507936507936508,0.8501182033096927,0.9798534798534799
4,1,0.8085106382978723,0.7898658718330849,0.7965247169990805,0.9908424908424908
4,2,0.7446808510638298,0.7436363636363637,0.7405029013539652,0.9812030075187971
4,3,0.7659574468085106,0.7655328798185941,0.7636223283639697,0.93796992481203
4,4,0.8723404255319149,0.861764705882353,0.8739674593241552,0.9516129032258065
4,5,0.8297872340425532,0.8297101449275363,0.8299414122725871,0.9054545454545455
5,1,0.6382978723404256,0.637641723356009,0.6327206059728856,0.9536290322580645
5,2,0.8297872340425532,0.8278388278388278,0.8329046839685137,0.9882352941176471
5,3,0.8085106382978723,0.8053382420616659,0.8132692326521821,0.9858870967741935
5,4,0.8085106382978723,0.8027972027972028,0.8149382532361255,0.9854166666666666
5,5,0.8936170212765957,0.8885727833096254,0.8931125974798988,0.93796992481203
